Ticker,Name,Sector,Industry,CMP,Final_Score,Tech_Score,Fund_Score,Sent_Score,Pre_Score,Forecast_Score,Intrinsic_Value,Margin_Safety,PE,ROE,Debt_to_Equity,PEG_Ratio,Market_Cap,Div_Yield,ROCE,OPM,FreeCashFlow,Sales,ProfitGrowth3Y,QtrSalesGrowth,QtrProfitGrowth,Reason,QualityScore,ROI_6to12_Score,Target,WinProbability,ExpectedReturn
BHARTIARTL.NS,BHARTIARTL.NS,Communication Services,Telecom Services,2022.5,0.382975625,0.4,0.4285714285714285,0.6198375,0.382975625,0.0,542.38,-73.16,31.42102,0.33018002,129.719,0,12310072524800,0.79,21.380144298778323,31.410998,38154.551296,14.069465676409765,99.0493242072451,25.7,88.3,Earnings Breakout + Momentum,7,10,1,0.31621923748404124,15-21%
WAAREERTL.NS,WAAREERTL.NS,Utilities,Utilities - Renewable,972.7,0.465,0.4,0.7142857142857143,0.5,0.465,0.0,198.24,-79.61,24.312157,0.71734,12.31,0,101508038656,0.0,63.36111018477879,20.103,84.9374528,114.69802886057656,198.63801241808355,47.7,117.4,Earnings Breakout + Momentum,7,10,1,0.24554203994679238,15-21%
ESABINDIA.NS,ESABINDIA.NS,Industrials,Tools & Accessories,5680.5,0.4261374999999999,0.4,0.5714285714285714,0.57425,0.4261374999999999,0.0,907.48,-84.05,42.0858,0.54427,0.876,0,87718584320,2.02,65.71626297577855,17.869,70.1524992,15.336869602369996,27.66347814702521,12.7,83.5,Earnings Breakout + Momentum,7,10,1,0.2010655875038055,15-21%
NINSYS.NS,NINSYS.NS,Technology,Information Technology Services,384.1,0.325,0.0,0.7142857142857143,0.5,0.325,0.0,122.44,-68.09,24.074656,0.47384998,2.589,0,7128540160,0.0,55.5721899514941,23.065001,11.1309,91.81840426707974,111.74627383539234,23.0,20.8,Earnings Breakout + Momentum,7,10,1,0.18805179746244746,15-21%
GVT&D.NS,GVT&D.NS,Industrials,Specialty Industrial Machinery,2796.0,0.406867,0.4,0.5714285714285714,0.44578,0.406867,0.0,257.19,-90.79,77.405045,0.53129,1.46,0,714881892352,0.18,47.03487093299344,25.015,795.4925056,11.848648661523551,130.5831094820089,38.9,107.1,Earnings Breakout + Momentum,7,10,1,0.1703866471736627,15-21%
JSLL.NS,JSLL.NS,Healthcare,Medical Care Facilities,729.6,0.3767049999999999,0.4,0.5714285714285714,0.2446999999999999,0.3767049999999999,0.0,90.44,-87.64,57.321846,0.54371,30.042,0,90988134400,0.15,43.19325036079486,42.997003,33.4195008,47.37150491575066,100.64316115288784,77.3,150.29999999999998,Earnings Breakout + Momentum,7,10,1,0.14896721616588943,15-21%
SIGMA.NS,SIGMA.NS,Technology,Information Technology Services,58.78,0.5349999999999999,0.6,0.7142857142857143,0.5,0.5349999999999999,0.0,18.36,-68.88,23.886639,0.45837003,5.498,0,6072167424,0.09,49.161579621674576,28.995,18.6473744,22.84162128462166,28.673002894476006,50.0,62.5,Earnings Breakout + Momentum,7,10,1,0.14821730310146541,15-21%
ALLDIGI.NS,ALLDIGI.NS,Industrials,Specialty Business Services,807.8,0.395,0.2,0.7142857142857143,0.5,0.395,0.0,414.89,-48.52,17.116161,0.27868,33.037,0,12282090496,7.43,44.15969786889668,14.374,64.6150016,19.867649841483527,32.709629084340094,12.2,45.0,Earnings Breakout + Momentum,7,10,1,0.1344343344511977,15-21%
BSE.NS,BSE.NS,Financial Services,Financial Data & Stock Exchanges,2836.8,0.5508044999999999,0.8,0.5714285714285714,0.47203,0.5508044999999999,0.0,390.35,-86.23,64.866104,0.31448,0.0,0,1150969839616,0.21,39.49202276048855,77.264,186.7162496,58.46800546412168,73.39502578021046,39.4,61.1,Earnings Breakout + Momentum,7,10,1,0.13403108473073114,15-21%
3MINDIA.NS,3MINDIA.NS,Industrials,Conglomerates,35435.0,0.495197,0.6,0.5714285714285714,0.56798,0.495197,0.0,3980.33,-88.79,72.06375,0.33832002,6.416,0,399853649920,0.45,42.470090255770266,19.014,509.6061952,10.044498901364584,20.517069205092287,14.000000000000002,43.0,Earnings Breakout + Momentum,7,10,1,0.13005283424932393,15-21%
