SYMBOL,NAME OF COMPANY, ISIN NUMBER,Ticker
20MICRONS,20 Microns Limited,INE144J01027,20MICRONS.NS
21STCENMGM,21st Century Management Services Limited,INE253B01015,21STCENMGM.NS
360ONE,360 ONE WAM LIMITED,INE466L01038,360ONE.NS
3IINFOLTD,3i Infotech Limited,INE748C01038,3IINFOLTD.NS
3MINDIA,3M India Limited,INE470A01017,3MINDIA.NS
3PLAND,3P Land Holdings Limited,INE105C01023,3PLAND.NS
5PAISA,5Paisa Capital Limited,INE618L01018,5PAISA.NS
63MOONS,63 moons technologies limited,INE111B01023,63MOONS.NS
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,A2ZINFRA.NS
AAATECH,AAA Technologies Limited,INE0D0U01013,AAATECH.NS
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,AADHARHFC.NS
AAKASH,Aakash Exploration Services Limited,INE087Z01024,AAKASH.NS
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,AAREYDRUGS.NS
AARON,Aaron Industries Limited,INE721Z01010,AARON.NS
AARTECH,Aartech Solonics Limited,INE01C001026,AARTECH.NS
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,AARTIDRUGS.NS
AARTIIND,Aarti Industries Limited,INE769A01020,AARTIIND.NS
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,AARTIPHARM.NS
AARTISURF,Aarti Surfactants Limited,INE09EO01013,AARTISURF.NS
AARVI,Aarvi Encon Limited,INE754X01016,AARVI.NS
AAVAS,Aavas Financiers Limited,INE216P01012,AAVAS.NS
ABAN,Aban Offshore Limited,INE421A01028,ABAN.NS
ABB,ABB India Limited,INE117A01022,ABB.NS
ABBOTINDIA,Abbott India Limited,INE358A01014,ABBOTINDIA.NS
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,ABCAPITAL.NS
ABCOTS,A B Cotspin India Limited,INE08PH01015,ABCOTS.NS
ABDL,Allied Blenders and Distillers Limited,INE552Z01027,ABDL.NS
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,ABFRL.NS
ABINFRA,A B Infrabuild Limited,INE00YB01025,ABINFRA.NS
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,ABLBL.NS
ABMINTLLTD,ABM International Limited,INE251C01025,ABMINTLLTD.NS
ABREL,Aditya Birla Real Estate Limited,INE055A01016,ABREL.NS
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,ABSLAMC.NS
ACC,ACC Limited,INE012A01025,ACC.NS
ACCELYA,Accelya Solutions India Limited,INE793A01012,ACCELYA.NS
ACCURACY,Accuracy Shipping Limited,INE648Z01023,ACCURACY.NS
ACE,Action Construction Equipment Limited,INE731H01025,ACE.NS
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,ACEINTEG.NS
ACI,Archean Chemical Industries Limited,INE128X01021,ACI.NS
ACL,Andhra Cements Limited,INE666E01020,ACL.NS
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,ACMESOLAR.NS
ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,ACUTAAS.NS
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,ADANIENSOL.NS
ADANIENT,Adani Enterprises Limited,INE423A01024,ADANIENT.NS
ADANIGREEN,Adani Green Energy Limited,INE364U01010,ADANIGREEN.NS
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,ADANIPORTS.NS
ADANIPOWER,Adani Power Limited,INE814H01029,ADANIPOWER.NS
ADFFOODS,ADF Foods Limited,INE982B01027,ADFFOODS.NS
ADL,Archidply Decor Limited,INE0CHO01012,ADL.NS
ADOR,Ador Welding Limited,INE045A01017,ADOR.NS
ADROITINFO,Adroit Infotech Limited,INE737B01033,ADROITINFO.NS
ADSL,Allied Digital Services Limited,INE102I01027,ADSL.NS
ADVANCE,Advance Agrolife Limited,INE1B0W01010,ADVANCE.NS
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026,ADVANIHOTR.NS
ADVENTHTL,Advent Hotels International Limited,INE28GN01010,ADVENTHTL.NS
ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,ADVENZYMES.NS
AEGISLOG,Aegis Logistics Limited,INE208C01025,AEGISLOG.NS
AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018,AEGISVOPAK.NS
AEQUS,Aequs Limited,INE947N01017,AEQUS.NS
AEROENTER,Aeroflex Enterprises Limited,INE065D01027,AEROENTER.NS
AEROFLEX,Aeroflex Industries Limited,INE024001021,AEROFLEX.NS
AERONEU,Aeroflex Neu Limited,INE035801013,AERONEU.NS
AETHER,Aether Industries Limited,INE0BWX01014,AETHER.NS
AFCONS,Afcons Infrastructure Limited,INE101I01011,AFCONS.NS
AFFLE,Affle 3i Limited,INE00WC01027,AFFLE.NS
AFFORDABLE,Affordable Robotic & Automation Limited,INE692Z01013,AFFORDABLE.NS
AFIL,Akme Fintrade (India) Limited,INE916Y01027,AFIL.NS
AFSL,Abans Financial Services Limited,INE00ZE01026,AFSL.NS
AGARIND,Agarwal Industrial Corporation Limited,INE204E01012,AGARIND.NS
AGARWALEYE,Dr. Agarwal's Health Care Limited,INE943P01029,AGARWALEYE.NS
AGI,AGI Greenpac Limited,INE415A01038,AGI.NS
AGIIL,Agi Infra Limited,INE976R01033,AGIIL.NS
